hqc,source_dir,run,metric,metric_label,us
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,591.847
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,decode_one,decode-one,607.887
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,bench,bench batched decode,56.194
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,open_close,open-close,55834.624
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,ping,ping,556.468
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_in_malloc,payload-in malloc,614.39
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_out_malloc,payload-out malloc,563.111
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_inout_malloc,payload-inout malloc,598.944
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,589.711
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,548.846
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,613.356
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,618.448
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,566.721
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,618.676
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,decode_one,decode-one,652.917
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122527_hqc256,run1,bench,bench batched decode,116.214
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,open_close,open-close,57698.464
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,ping,ping,518.404
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_in_malloc,payload-in malloc,606.341
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_out_malloc,payload-out malloc,557.551
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_inout_malloc,payload-inout malloc,615.441
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,599.621
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,559.508
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,578.184
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,577.858
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,534.763
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,608.762
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,decode_one,decode-one,627.041
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_122927_hqc256,run1,bench,bench batched decode,116.074
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,open_close,open-close,57482.979
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,ping,ping,538.553
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_in_malloc,payload-in malloc,624.41
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_out_malloc,payload-out malloc,556.872
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_inout_malloc,payload-inout malloc,609.564
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,611.15
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,556.766
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,610.584
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,575.908
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,542.79
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,574.721
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,decode_one,decode-one,624.284
